SETTLEMENTDATE,RRP
1/01/2019 0:05,64.82955
1/01/2019 0:10,66.71008
1/01/2019 0:15,64.98389
1/01/2019 0:20,65.02514
1/01/2019 0:25,60.6528
1/01/2019 0:30,60.48141
1/01/2019 0:35,68.02723
1/01/2019 0:40,66.71007
1/01/2019 0:45,63.81034
1/01/2019 0:50,64.78006
1/01/2019 0:55,64.65486
1/01/2019 1:00,63.79205
1/01/2019 1:05,63.98012
1/01/2019 1:10,69.78908
1/01/2019 1:15,66.43017
1/01/2019 1:20,69.05168
1/01/2019 1:25,68.16008
1/01/2019 1:30,69.79125
1/01/2019 1:35,68.16008
1/01/2019 1:40,68.40019
1/01/2019 1:45,63.24121
1/01/2019 1:50,64.78006
1/01/2019 1:55,62.9624
1/01/2019 2:00,64.78006
1/01/2019 2:05,61.48616
1/01/2019 2:10,63.38066
1/01/2019 2:15,63.5593
1/01/2019 2:20,64.05036
1/01/2019 2:25,61.65209
1/01/2019 2:30,59.95002
1/01/2019 2:35,60.17461
1/01/2019 2:40,61.89859
1/01/2019 2:45,58.65069
1/01/2019 2:50,57.5109
1/01/2019 2:55,56.58865
1/01/2019 3:00,57.0891
1/01/2019 3:05,57.07971
1/01/2019 3:10,59.02998
1/01/2019 3:15,59.03315
1/01/2019 3:20,57.47412
1/01/2019 3:25,56.72995
1/01/2019 3:30,56.73019
1/01/2019 3:35,45.14968
1/01/2019 3:40,48.95
1/01/2019 3:45,46.06084
1/01/2019 3:50,45.44795
1/01/2019 3:55,45.82312
1/01/2019 4:00,51.0802
1/01/2019 4:05,51.20861
1/01/2019 4:10,51.2166
1/01/2019 4:15,50.87611
1/01/2019 4:20,51.21792
1/01/2019 4:25,50.19015
1/01/2019 4:30,50.86871
1/01/2019 4:35,50.8756
1/01/2019 4:40,45.42441
1/01/2019 4:45,45.12027
1/01/2019 4:50,50.8774
1/01/2019 4:55,45.11097
1/01/2019 5:00,47.55002
1/01/2019 5:05,30.08014
1/01/2019 5:10,56.69262
1/01/2019 5:15,51.6111
1/01/2019 5:20,43.46104
1/01/2019 5:25,44.06
1/01/2019 5:30,44.86836
1/01/2019 5:35,45.17752
1/01/2019 5:40,44.57707
1/01/2019 5:45,45.18864
1/01/2019 5:50,49.45475
1/01/2019 5:55,43.89993
1/01/2019 6:00,44.89707
1/01/2019 6:05,51.84603
1/01/2019 6:10,50.62978
1/01/2019 6:15,53.73005
1/01/2019 6:20,50.63301
1/01/2019 6:25,50.28717
1/01/2019 6:30,43.13017
1/01/2019 6:35,38.25469
1/01/2019 6:40,44.02208
1/01/2019 6:45,43.74166
1/01/2019 6:50,37.53172
1/01/2019 6:55,43.74764
1/01/2019 7:00,44.05922
1/01/2019 7:05,43.47556
1/01/2019 7:10,43.13014
1/01/2019 7:15,48.40227
1/01/2019 7:20,43.22028
1/01/2019 7:25,43.21956
1/01/2019 7:30,42.63407
1/01/2019 7:35,41.22146
1/01/2019 7:40,47.76018
1/01/2019 7:45,47.44346
1/01/2019 7:50,42.06549
1/01/2019 7:55,51.41599
1/01/2019 8:00,47.79438
1/01/2019 8:05,42.11864
1/01/2019 8:10,46.79787
1/01/2019 8:15,47.11608
1/01/2019 8:20,41.21338
1/01/2019 8:25,45.84715
1/01/2019 8:30,27.11169
1/01/2019 8:35,41.52042
1/01/2019 8:40,45.4533
1/01/2019 8:45,45.45171
1/01/2019 8:50,46.52444
1/01/2019 8:55,45.8891
1/01/2019 9:00,53.73005
1/01/2019 9:05,49.87974
1/01/2019 9:10,50.23813
1/01/2019 9:15,53.61236
1/01/2019 9:20,53.73005
1/01/2019 9:25,53.73005
1/01/2019 9:30,53.73005
1/01/2019 9:35,45.95754
1/01/2019 9:40,50.25583
1/01/2019 9:45,48.98
1/01/2019 9:50,53.73005
1/01/2019 9:55,53.73005
1/01/2019 10:00,53.28137
1/01/2019 10:05,53.73
1/01/2019 10:10,58.52523
1/01/2019 10:15,53.72997
1/01/2019 10:20,58.13291
1/01/2019 10:25,58.58025
1/01/2019 10:30,58.1755
1/01/2019 10:35,58.1908
1/01/2019 10:40,59.00078
1/01/2019 10:45,58.18453
1/01/2019 10:50,58.19637
1/01/2019 10:55,59.04297
1/01/2019 11:00,58.2263
1/01/2019 11:05,60.7301
1/01/2019 11:10,65.26559
1/01/2019 11:15,64.78003
1/01/2019 11:20,64.78003
